['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
235842866 17655 28.1 33.0 0 13302 240ac48eb9d4 99 400
236842588 17656 28.2 33.0 0 13307 240ac48eb9d4 99 400
237842770 17656 28.3 33.0 0 13306 240ac48eb9d4 99 400
238842849 17659 28.3 33.0 0 13313 240ac48eb9d4 99 400
239842651 17656 28.2 32.9 0 13315 240ac48eb9d4 99 400
240842849 17654 28.1 32.9 0 13317 240ac48eb9d4 99 400
241842869 17664 28.1 33.0 0 13326 240ac48eb9d4 99 400
242841906 17667 28.1 33.0 2 13327 240ac48eb9d4 99 400
243842805 17662 28.2 33.0 5 13324 240ac48eb9d4 99 415
244842857 17667 28.3 33.0 1 13320 240ac48eb9d4 99 415
245842897 17671 28.5 33.0 2 13316 240ac48eb9d4 99 418
246842659 17664 28.6 33.0 4 13308 240ac48eb9d4 99 431
247842809 17666 28.6 33.0 1 13308 240ac48eb9d4 99 431
248842805 17666 28.7 33.0 6 13309 240ac48eb9d4 99 433
249842877 17665 28.7 33.0 6 13304 240ac48eb9d4 99 445
250842766 17664 28.6 33.0 3 13309 240ac48eb9d4 99 442
251842861 17667 28.6 33.0 1 13305 240ac48eb9d4 99 433
252842774 17660 28.6 33.0 4 13305 240ac48eb9d4 99 442
253842530 17659 28.6 33.0 5 13310 240ac48eb9d4 99 436
254842779 17664 28.5 33.0 5 13308 240ac48eb9d4 99 429
255842877 17667 28.6 33.0 7 13311 240ac48eb9d4 99 424
256842985 17664 28.6 33.0 7 13307 240ac48eb9d4 99 433
257842866 17663 28.6 33.0 0 13305 240ac48eb9d4 99 431
258842774 17662 28.7 33.1 1 13304 240ac48eb9d4 99 432
259842813 17664 28.7 33.0 8 13299 240ac48eb9d4 99 450
260842873 17666 28.8 33.1 8 13298 240ac48eb9d4 99 452
261842966 17658 28.8 32.9 20 13292 240ac48eb9d4 99 463
