['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
149931451 17563 31.7 31.8 26 13453 240ac48e2ac0 99 572
150931415 17565 31.7 31.8 30 13469 240ac48e2ac0 99 541
151931354 17573 31.4 31.9 17 13505 240ac48e2ac0 99 487
152931419 17571 31.3 31.9 24 13515 240ac48e2ac0 99 463
153931286 17571 31.5 31.9 22 13517 240ac48e2ac0 99 467
154931442 17571 31.5 31.9 22 13519 240ac48e2ac0 99 458
155931419 17564 31.5 31.9 30 13506 240ac48e2ac0 99 490
156931407 17562 32.0 31.8 31 13496 240ac48e2ac0 99 504
157931836 17562 33.1 31.9 32 13501 240ac48e2ac0 99 491
158931431 17568 33.1 31.9 34 13507 240ac48e2ac0 99 472
159931354 17567 32.4 31.9 23 13520 240ac48e2ac0 99 449
160931350 17580 31.9 31.9 14 13522 240ac48e2ac0 99 440
161931294 17577 31.6 31.9 7 13522 240ac48e2ac0 99 439
162931266 17584 31.3 31.9 1 13524 240ac48e2ac0 99 433
163931083 17582 31.1 32.0 8 13521 240ac48e2ac0 99 453
164931251 17585 31.0 32.0 18 13518 240ac48e2ac0 99 440
165931466 17582 30.9 32.1 11 13516 240ac48e2ac0 99 458
166931269 17572 30.8 32.1 12 13516 240ac48e2ac0 99 453
167931612 17575 30.7 32.20000000000001 12 13512 240ac48e2ac0 99 453
168931353 17576 30.7 32.3 11 13509 240ac48e2ac0 99 462
169931365 17577 30.7 32.3 5 13510 240ac48e2ac0 99 472
170931349 17570 30.6 32.3 13 13509 240ac48e2ac0 99 461
171931430 17577 30.6 32.3 20 13509 240ac48e2ac0 99 475
172931333 17576 30.5 32.3 19 13512 240ac48e2ac0 99 467
173931465 17570 30.4 32.3 17 13515 240ac48e2ac0 99 456
174930665 17570 30.4 32.3 12 13516 240ac48e2ac0 99 447
175931437 17575 30.4 32.3 12 13512 240ac48e2ac0 99 452
176931410 17573 30.3 32.4 16 13514 240ac48e2ac0 99 447
177931082 17578 30.3 32.4 14 13511 240ac48e2ac0 99 445
178931136 17575 30.3 32.4 17 13510 240ac48e2ac0 99 462
179931422 17562 30.3 32.4 19 13511 240ac48e2ac0 99 454
180931155 17570 30.3 32.5 13 13512 240ac48e2ac0 99 452
