['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
161934411 17476 31.9 31.6 2 13112 240ac48df9dc 99 405
162934221 17484 31.9 31.6 0 13101 240ac48df9dc 99 426
163934528 17480 32.0 31.6 6 13089 240ac48df9dc 99 450
164934489 17477 32.1 31.6 3 13092 240ac48df9dc 99 429
165934584 17487 32.1 31.6 0 13101 240ac48df9dc 99 425
166934572 17486 32.0 31.6 0 13101 240ac48df9dc 99 414
167934679 17492 31.9 31.6 10 13103 240ac48df9dc 99 419
168934587 17485 31.9 31.6 9 13093 240ac48df9dc 99 436
169934591 17485 31.8 31.6 5 13093 240ac48df9dc 99 433
170934378 17489 31.8 31.6 8 13087 240ac48df9dc 99 444
171934688 17476 31.8 31.7 16 13075 240ac48df9dc 99 473
172934145 17481 31.7 31.7 18 13077 240ac48df9dc 99 472
173934680 17474 31.7 31.7 20 13078 240ac48df9dc 99 474
174934680 17473 31.7 31.7 18 13077 240ac48df9dc 99 466
175934595 17476 31.6 31.7 24 13082 240ac48df9dc 99 456
176934625 17476 31.6 31.7 25 13082 240ac48df9dc 99 467
177934595 17477 31.6 31.7 19 13075 240ac48df9dc 99 472
178934640 17468 31.6 31.7 26 13072 240ac48df9dc 99 479
179934011 17474 31.6 31.7 29 13072 240ac48df9dc 99 475
180934030 17466 31.6 31.7 28 13071 240ac48df9dc 99 466
181934007 17466 31.6 31.7 21 13083 240ac48df9dc 99 454
182934003 17469 31.6 31.7 26 13075 240ac48df9dc 99 465
183934675 17471 31.6 31.7 27 13077 240ac48df9dc 99 467
184934587 17463 31.6 31.7 26 13074 240ac48df9dc 99 479
185934679 17466 31.5 31.7 36 13068 240ac48df9dc 99 484
186934668 17459 31.5 31.7 38 13072 240ac48df9dc 99 477
187934332 17465 31.5 31.7 29 13072 240ac48df9dc 99 476
188933703 17460 31.4 31.7 34 13074 240ac48df9dc 99 473
189934595 17465 31.4 31.7 34 13079 240ac48df9dc 99 461
190934571 17462 31.4 31.8 35 13084 240ac48df9dc 99 447
191934668 17467 31.4 31.8 31 13090 240ac48df9dc 99 438
192934652 17473 31.4 31.7 22 13099 240ac48df9dc 99 423
193934675 17472 31.3 31.7 24 13107 240ac48df9dc 99 405
194934236 17478 31.2 31.6 13 13109 240ac48df9dc 99 400
195934587 17481 31.2 31.7 10 13115 240ac48df9dc 99 400
